City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
145,Yuci,CN,71.35,overcast clouds,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
148,Baruun-Urt,MN,72.77,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
149,Fortuna,US,71.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
150,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
152,Touros,BR,75.38,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
154,Djibo,BF,84.06,light rain,14.1022,-1.6306,Centre Des Ressources DPENA
155,Eyl,SO,76.71,broken clouds,7.9803,49.8164,Amiin Hotel
156,Dingle,PH,76.75,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
157,Wajir,KE,71.91,broken clouds,1.7471,40.0573,Mahatallah Hotel
159,Calabozo,VE,75.25,broken clouds,8.9242,-67.4293,Hotel Giardini
160,Lugovoy,KZ,74.28,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
161,Ellington,US,75.94,broken clouds,41.904,-72.4698,SES FOP Lodge #311
164,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
165,Dale,US,82.11,few clouds,38.1689,-86.99,"Motel 6 Dale, IN"
167,Shwebo,MM,84.16,overcast clouds,22.5667,95.7,MOON SHINE Guest House
168,Trincomalee,LK,78.78,overcast clouds,8.5711,81.2335,Welcombe Hotel
171,Hami,CN,82.78,overcast clouds,42.8,93.45,Laoyutang Resort
172,Owando,CG,71.71,light rain,-0.4819,15.8999,Exaunel Hotel Owando
176,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
179,Tevaitoa,PF,76.66,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
181,Pipri,IN,72.18,overcast clouds,19.8,75.5333,Sukhana River nilu and rushi home
182,Sola,VU,83.07,overcast clouds,-13.8833,167.55,Leumerus Bungalows
185,Jacqueville,CI,76.95,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
186,Singkawang,ID,81.59,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
187,Belmonte,BR,71.37,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
188,Iracoubo,GF,78.64,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
189,Santa Isabel Do Rio Negro,BR,73.36,overcast clouds,-0.4139,-65.0192,Hotel GSA
190,Santarem,BR,80.73,broken clouds,-2.4431,-54.7083,Hotel Imperador
193,Tual,ID,79.95,broken clouds,-5.6667,132.75,Grand Vilia Hotel
194,Dabhol,IN,76.5,overcast clouds,17.6,73.1667,Ashwamedh Resort
195,Ribeira Grande,PT,72.34,few clouds,38.5167,-28.7,Quinta da Meia Eira
197,Benghazi,LY,79.3,clear sky,32.1167,20.0667,Tibesti Hotel
199,Logrono,ES,81.9,clear sky,42.4667,-2.45,Hotel Gran Vía Logroño
200,Hosakote,IN,71.38,overcast clouds,14.2769,77.1699,AVN lodge
201,Alta Floresta,BR,72.72,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
204,Mitsamiouli,KM,75.67,few clouds,-11.3847,43.2844,Foyer ADM
208,Zeya,RU,76.23,overcast clouds,53.75,127.2667,Kapital Inn
209,Hasaki,JP,84.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
212,Mankono,CI,71.15,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
215,Katsuura,JP,80.62,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
217,Roma,US,72.82,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
221,Banda Aceh,ID,81.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
223,Kuala Terengganu,MY,80.55,light rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
226,Karratha,AU,71.87,clear sky,-20.7377,116.8463,ibis Styles Karratha
239,Paris,FR,83.17,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
240,Sur,OM,83.21,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
245,Sigli,ID,80.02,overcast clouds,5.3848,95.9609,Losmen Dua Mali
247,Kanniyakumari,IN,77.95,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
248,Sarakhs,IR,80.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
249,Magaria,NE,76.78,few clouds,12.9983,8.9099,Chez Honorable Chapiou
250,Soto La Marina,MX,86.77,clear sky,23.7667,-98.2167,Hotel Chicago
252,Margate,GB,73.69,clear sky,51.3813,1.3862,Premier Inn Margate hotel
254,Portland,US,81.93,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
258,Guerrero Negro,MX,75.69,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
259,Arraial Do Cabo,BR,70.47,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
261,Altamira,BR,76.71,overcast clouds,-3.2033,-52.2064,Requinte Hotel
264,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
266,Tecoanapa,MX,82.06,overcast clouds,16.5167,-98.75,Hotel Manglares
268,Tottori,JP,77.07,heavy intensity shower rain,35.5,134.2333,Hotel Monarque Tottori
270,Erenhot,CN,79.25,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
271,Kavaratti,IN,80.76,overcast clouds,10.5669,72.642,Green leaf
272,Ponta Do Sol,PT,70.43,clear sky,32.6667,-17.1,Hotel do Campo
273,Sao Felix Do Xingu,BR,73.81,few clouds,-6.6447,-51.995,Rio Xingu Camping
274,Ishigaki,JP,87.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
276,Ierapetra,GR,79.14,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
278,Daru,PG,78.4,broken clouds,-9.0763,143.2092,Daru Lodge
279,Toppenish,US,87.71,clear sky,46.3774,-120.3087,Legends Casino Hotel
284,Pandan,PH,85.17,scattered clouds,14.0453,124.1694,Bonifacio Lodge
288,Grand-Santi,GF,74.1,light rain,4.25,-54.3833,Hotel La Villa Couacou
290,San Blas,MX,85.01,clear sky,21.5167,-105.2667,Hotel Posada del Rey
292,Kimbe,PG,87.87,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
