City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,light intensity drizzle
177,Grand Gaube,MU,-20.0064,57.6608,68.38,68,48,8.99,scattered clouds
178,Pangnirtung,CA,66.1451,-65.7125,46.0,79,100,2.24,overcast clouds
179,Tevaitoa,PF,-16.7833,-151.5,76.66,68,0,5.75,clear sky
180,Warrnambool,AU,-38.3833,142.4833,52.81,58,6,9.04,clear sky
181,Pipri,IN,19.8,75.5333,72.18,100,100,5.75,overcast clouds
182,Sola,VU,-13.8833,167.55,83.07,79,100,21.59,overcast clouds
183,Tiksi,RU,71.6872,128.8694,34.5,84,100,19.98,overcast clouds
184,Umm Kaddadah,SD,13.6017,26.6876,83.21,53,72,12.33,broken clouds
185,Jacqueville,CI,5.2052,-4.4146,76.95,75,98,11.34,overcast clouds
186,Singkawang,ID,0.9,109.0,81.59,71,100,4.14,overcast clouds
187,Belmonte,BR,-15.8631,-38.8828,71.37,85,77,7.27,broken clouds
188,Iracoubo,GF,5.4802,-53.2011,78.64,85,96,8.14,overcast clouds
189,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.36,96,90,3.29,overcast clouds
190,Santarem,BR,-2.4431,-54.7083,80.73,83,75,4.61,broken clouds
191,Marovoay,MG,-16.1,46.6333,63.45,71,0,6.44,clear sky
192,Half Moon Bay,US,37.4636,-122.4286,90.54,75,0,24.16,haze
193,Tual,ID,-5.6667,132.75,79.95,81,55,19.35,broken clouds
194,Dabhol,IN,17.6,73.1667,76.5,89,86,7.56,overcast clouds
195,Ribeira Grande,PT,38.5167,-28.7,72.34,91,24,2.17,few clouds
196,Isla Vista,US,34.4133,-119.861,97.38,68,0,8.05,clear sky
197,Benghazi,LY,32.1167,20.0667,79.3,59,0,16.8,clear sky
198,Pevek,RU,69.7008,170.3133,32.74,96,100,7.31,overcast clouds
199,Logrono,ES,42.4667,-2.45,81.9,42,0,10.36,clear sky
200,Hosakote,IN,14.2769,77.1699,71.38,84,99,10.89,overcast clouds
201,Alta Floresta,BR,-9.8756,-56.0861,72.72,38,4,3.91,clear sky
202,Narsaq,GL,60.9167,-46.05,52.02,75,21,0.27,few clouds
203,Baykit,RU,61.67,96.37,57.31,98,100,2.71,light rain
204,Mitsamiouli,KM,-11.3847,43.2844,75.67,72,11,12.15,few clouds
205,Bonavista,CA,48.6499,-53.1147,60.82,89,77,17.87,light rain
206,Lagoa,PT,39.05,-27.9833,69.17,88,100,11.05,overcast clouds
207,Massakory,TD,12.996,15.7293,80.6,66,11,6.42,few clouds
208,Zeya,RU,53.75,127.2667,76.23,65,100,1.16,overcast clouds
209,Hasaki,JP,35.7333,140.8333,84.6,86,100,13.31,overcast clouds
210,Sitka,US,57.0531,-135.33,53.49,94,100,5.75,light rain
211,Lianran,CN,24.9227,102.485,66.74,90,100,3.96,overcast clouds
212,Mankono,CI,8.0586,-6.1897,71.15,89,100,6.55,overcast clouds
213,El Reno,US,35.5323,-97.955,98.33,31,0,6.91,clear sky
214,Henties Bay,NA,-22.116,14.2845,57.18,89,1,7.31,clear sky
215,Katsuura,JP,35.1333,140.3,80.62,81,100,21.07,light rain
216,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,53.78,89,100,10.78,overcast clouds
217,Roma,US,43.2128,-75.4557,72.82,94,100,6.91,overcast clouds
218,Veinticinco De Mayo,AR,-35.4323,-60.1727,41.99,70,7,1.99,clear sky
219,Nanortalik,GL,60.1432,-45.2371,45.72,82,82,7.94,broken clouds
220,Cherskiy,RU,68.75,161.3,61.95,46,82,13.94,broken clouds
221,Banda Aceh,ID,5.5577,95.3222,81.0,73,99,9.8,overcast clouds
222,Saldanha,ZA,-33.0117,17.9442,48.25,77,0,11.16,clear sky
223,Kuala Terengganu,MY,5.3302,103.1408,80.55,94,40,2.3,light rain
224,Bereznik,RU,62.8551,42.7072,57.15,99,100,7.16,moderate rain
225,Viedma,AR,-40.8135,-62.9967,42.1,38,92,9.89,overcast clouds
226,Karratha,AU,-20.7377,116.8463,71.87,52,5,10.02,clear sky
227,Maltahohe,NA,-24.8333,16.9833,50.92,39,1,4.32,clear sky
228,San Jose,US,37.3394,-121.895,96.08,39,20,13.8,few clouds
229,Seymchan,RU,62.8833,152.4333,78.44,55,100,3.8,overcast clouds
230,Saint-Augustin,CA,51.226,-58.6502,66.58,59,90,5.26,overcast clouds
231,San Patricio,US,28.017,-97.5169,90.32,64,8,14.07,clear sky
232,Pampierstad,ZA,-27.7832,24.6877,49.62,59,0,9.08,clear sky
233,Norman Wells,CA,65.282,-126.8329,66.24,63,75,14.97,light intensity shower rain
234,Mercedes,AR,-34.6515,-59.4307,46.85,51,100,5.19,overcast clouds
235,Hualmay,PE,-11.0964,-77.6139,62.17,83,100,9.37,overcast clouds
236,Luderitz,NA,-26.6481,15.1594,56.68,84,0,9.55,clear sky
237,Toamasina,MG,-18.1667,49.3833,69.8,94,75,6.91,broken clouds
238,Vikhorevka,RU,56.1201,101.1636,60.39,77,100,2.53,overcast clouds
239,Paris,FR,48.8534,2.3488,83.17,38,0,5.75,clear sky
240,Sur,OM,22.5667,59.5289,83.21,92,45,8.14,scattered clouds
241,Taltal,CL,-25.4,-70.4833,59.22,71,19,4.72,few clouds
242,Ulladulla,AU,-35.35,150.4667,49.24,72,100,14.29,light rain
243,Kahama,TZ,-3.8333,32.6,64.09,52,49,9.06,scattered clouds
244,Mount Gambier,AU,-37.8333,140.7667,49.06,61,79,6.06,broken clouds
245,Sigli,ID,5.3848,95.9609,80.02,72,100,3.47,overcast clouds
246,Havoysund,NO,70.9963,24.6622,53.83,95,95,7.0,overcast clouds
247,Kanniyakumari,IN,8.0833,77.5667,77.95,82,100,17.69,overcast clouds
248,Sarakhs,IR,36.5449,61.1577,80.74,26,0,4.61,clear sky
249,Magaria,NE,12.9983,8.9099,76.78,74,18,9.42,few clouds
250,Soto La Marina,MX,23.7667,-98.2167,86.77,62,0,15.88,clear sky
